Line no. 39 Lexeme record Token TK_RECORD
Line no. 39 Lexeme #three Token TK_RUID
Line no. 39 Lexeme as Token TK_AS
Line no. 39 Lexeme #triangle Token TK_RUID
Line no. 40 Lexeme record Token TK_RECORD
Line no. 40 Lexeme #three Token TK_RUID
Line no. 41 Lexeme type Token TK_TYPE
Line no. 41 Lexeme #line Token TK_RUID
Line no. 41 Lexeme : Token TK_COLON
Line no. 41 Lexeme base Token TK_FIELDID
Line no. 41 Lexeme ; Token TK_SEM
Line no. 42 Lexeme type Token TK_TYPE
Line no. 42 Lexeme #line Token TK_RUID
Line no. 42 Lexeme : Token TK_COLON
Line no. 42 Lexeme height Token TK_FIELDID
Line no. 42 Lexeme ; Token TK_SEM
Line no. 43 Lexeme endrecord Token TK_ENDRECORD
Line no. 44 Lexeme definetype Token TK_DEFINETYPE
Line no. 44 Lexeme union Token TK_UNION
Line no. 44 Lexeme #four Token TK_RUID
Line no. 44 Lexeme as Token TK_AS
Line no. 44 Lexeme #shape Token TK_RUID
Line no. 45 Lexeme record Token TK_RECORD
Line no. 45 Lexeme #variantrecord Token TK_RUID
Line no. 46 Lexeme type Token TK_TYPE
Line no. 46 Lexeme int Token TK_INT
Line no. 46 Lexeme : Token TK_COLON
Line no. 46 Lexeme tag Token TK_FIELDID
Line no. 46 Lexeme ; Token TK_SEM
Line no. 47 Lexeme type Token TK_TYPE
Line no. 47 Lexeme #shape Token TK_RUID
Line no. 47 Lexeme : Token TK_COLON
Line no. 47 Lexeme s Token TK_FIELDID
Line no. 47 Lexeme ; Token TK_SEM
Line no. 48 Lexeme endrecord Token TK_ENDRECORD
Line no. 50 Lexeme type Token TK_TYPE
Line no. 50 Lexeme record Token TK_RECORD
Line no. 50 Lexeme #variantrecord Token TK_RUID
Line no. 50 Lexeme : Token TK_COLON
Line no. 50 Lexeme d4 Token TK_ID
Line no. 50 Lexeme ; Token TK_SEM
Line no. 51 Lexeme type Token TK_TYPE
Line no. 51 Lexeme int Token TK_INT
Line no. 51 Lexeme : Token TK_COLON
Line no. 51 Lexeme b5 Token TK_ID
Line no. 51 Lexeme ; Token TK_SEM
Line no. 52 Lexeme type Token TK_TYPE
Line no. 52 Lexeme int Token TK_INT
Line no. 52 Lexeme : Token TK_COLON
Line no. 52 Lexeme d5cb34567 Token TK_ID
Line no. 52 Lexeme ; Token TK_SEM
Line no. 53 Lexeme type Token TK_TYPE
Line no. 53 Lexeme record Token TK_RECORD
Line no. 53 Lexeme #variantrecord Token TK_RUID
Line no. 53 Lexeme : Token TK_COLON
Line no. 53 Lexeme b5c6 Token TK_ID
Line no. 53 Lexeme ; Token TK_SEM
Line no. 54 Lexeme b5c6 Token TK_ID
Line no. 54 Lexeme <--- Token TK_ASSIGNOP
Line no. 54 Lexeme b5c6 Token TK_ID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme tag Token TK_FIELDID
Line no. 54 Lexeme + Token TK_PLUS
Line no. 54 Lexeme d4 Token TK_ID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme s Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme ln Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme beginpoint Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme x Token TK_FIELDID
Line no. 54 Lexeme - Token TK_MINUS
Line no. 54 Lexeme b5c6 Token TK_ID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme s Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme tr Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme base Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme beginpoint Token TK_FIELDID
Line no. 54 Lexeme . Token TK_DOT
Line no. 54 Lexeme y Token TK_FIELDID
Line no. 54 Lexeme ; Token TK_SEM
Line no. 55 Lexeme b5 Token TK_ID
Line no. 55 Lexeme <--- Token TK_ASSIGNOP
Line no. 55 Lexeme b5 Token TK_ID
Line no. 55 Lexeme + Token TK_PLUS
Line no. 55 Lexeme 1 Token TK_NUM
Line no. 55 Lexeme ; Token TK_SEM
Line no. 56 Lexeme d4 Token TK_ID
Line no. 56 Lexeme <--- Token TK_ASSIGNOP
Line no. 56 Lexeme b5c6 Token TK_ID
Line no. 56 Lexeme / Token TK_DIV
Line no. 56 Lexeme d5cb34567 Token TK_ID
Line no. 56 Lexeme ; Token TK_SEM
Line no. 57 Lexeme write Token TK_WRITE
Line no. 57 Lexeme ( Token TK_OP
Line no. 57 Lexeme d4 Token TK_ID
Line no. 57 Lexeme ) Token TK_CL
Line no. 57 Lexeme ; Token TK_SEM
Line no. 58 Lexeme write Token TK_WRITE
Line no. 58 Lexeme ( Token TK_OP
Line no. 58 Lexeme d4 Token TK_ID
Line no. 58 Lexeme . Token TK_DOT
Line no. 58 Lexeme s Token TK_FIELDID
Line no. 58 Lexeme . Token TK_DOT
Line no. 58 Lexeme ln Token TK_FIELDID
Line no. 58 Lexeme . Token TK_DOT
Line no. 58 Lexeme beginpoint Token TK_FIELDID
Line no. 58 Lexeme . Token TK_DOT
Line no. 58 Lexeme x Token TK_FIELDID
Line no. 58 Lexeme ) Token TK_CL
Line no. 58 Lexeme ; Token TK_SEM
Line no. 59 Lexeme write Token TK_WRITE
Line no. 59 Lexeme ( Token TK_OP
Line no. 59 Lexeme b5c6 Token TK_ID
Line no. 59 Lexeme . Token TK_DOT
Line no. 59 Lexeme tag Token TK_FIELDID
Line no. 59 Lexeme ) Token TK_CL
Line no. 59 Lexeme ; Token TK_SEM
Line no. 60 Lexeme return Token TK_RETURN
Line no. 60 Lexeme ; Token TK_SEM
Line no. 61 Lexeme end Token TK_END
